positive_ratings,negative_ratings,owners,average_playtime,median_playtime,price
4718,750,1500000.0,98,63,5.99
9817,819,3500000.0,209,93,5.99
26877,3243,3500000.0,807,249,9.99
816,433,350000.0,99,101,5.99
3926,435,750000.0,316,316,5.99
2506,172,750000.0,175,175,5.99
199,30,750000.0,7,7,0.0
184,17,750000.0,3,4,0.0
8504,1764,1500000.0,319,225,9.99
35240,18926,3500000.0,1255,634,19.99
6401,2345,3500000.0,508,112,14.99
57,14,35000.0,0,0,6.99
1489,319,350000.0,337,404,6.99
256,59,150000.0,0,0,6.99
46,27,35000.0,0,0,6.99
1967,394,350000.0,37,71,16.99
51,44,10000.0,0,0,10.99
12,41,10000.0,0,0,10.99
31,69,10000.0,2,2,3.99
23,17,35000.0,0,0,10.99
12,8,35000.0,0,0,10.99
85,76,35000.0,0,0,3.99
174,95,75000.0,203,203,2.99
86,67,35000.0,0,0,6.99
561,80,150000.0,52,52,6.99
18,89,35000.0,0,0,6.99
245,111,75000.0,0,0,6.99
29,9,35000.0,0,0,4.99
21,6,35000.0,0,0,5.99
15,26,35000.0,0,0,4.99
25,24,35000.0,0,0,4.99
10,27,35000.0,0,0,4.99
238,72,150000.0,0,0,6.99
14,6,10000.0,0,0,4.99
946,75,750000.0,446,256,6.99
365,178,350000.0,88,147,4.99
132,182,75000.0,0,0,6.99
2116,306,1500000.0,197,119,6.99
1024,580,750000.0,413,417,6.99
48,4,10000.0,121,121,3.99
1515,723,750000.0,12,13,0.0
240,100,350000.0,682,682,8.99
2414,278,750000.0,542,239,13.99
2211,66,350000.0,414,496,8.99
2134,65,350000.0,565,924,5.99
1228,132,750000.0,67,41,5.99
657,101,350000.0,307,312,8.59
3099,609,750000.0,126,229,8.59
365,109,350000.0,205,205,8.59
371,106,350000.0,0,0,8.59
900,147,350000.0,28,28,4.29
1777,140,350000.0,22,22,8.59
356,454,350000.0,0,0,8.59
831,122,350000.0,167,167,8.59
34,2,150000.0,2,2,4.29
80,79,150000.0,20,20,4.29
239,80,35000.0,29,29,4.29
5743,1162,750000.0,360,476,8.59
2582,456,750000.0,1349,1936,8.59
1823,186,350000.0,355,448,4.29
76,38,10000.0,0,0,4.29
1258,183,350000.0,396,396,8.59
624,100,150000.0,69,69,4.29
234,128,75000.0,134,134,8.59
685,113,150000.0,0,0,4.29
70,24,75000.0,0,0,4.29
272,40,35000.0,0,0,4.29
536,45,150000.0,476,476,8.59
1287,185,350000.0,1812,1812,8.69
759,66,350000.0,6679,6679,8.59
84,21,350000.0,19,19,8.59
823,98,150000.0,346,346,8.59
89,21,35000.0,0,0,5.79
402,135,150000.0,0,0,6.99
547,103,150000.0,151,151,6.99
747,252,350000.0,136,136,6.99
5626,755,3500000.0,628,293,14.99
2739,442,3500000.0,387,217,1.99
806,48,350000.0,67,67,1.99
437,155,350000.0,3,3,3.99
759,139,350000.0,98,98,6.99
1,1,10000.0,0,0,5.99
92,29,35000.0,0,0,6.99
6,3,10000.0,0,0,5.99
7,14,35000.0,0,0,5.99
52,14,35000.0,102,102,5.99
73,35,35000.0,0,0,5.99
29,14,10000.0,0,0,5.99
20,29,10000.0,0,0,6.99
30,23,35000.0,0,0,5.99
57,21,35000.0,0,0,6.99
29,14,10000.0,0,0,5.99
26,25,35000.0,0,0,5.99
20,7,10000.0,0,0,5.99
11,3,10000.0,0,0,5.99
48,5,10000.0,0,0,5.99
35,8,10000.0,0,0,5.99
32,7,10000.0,0,0,5.99
20,7,10000.0,0,0,7.49
3274,509,1500000.0,301,367,9.99
10,1,10000.0,0,0,1.99
169,33,75000.0,382,382,5.99
21,13,10000.0,0,0,16.99
308,110,150000.0,264,265,0.79
1219,832,350000.0,9,10,1.69
1095,1000,350000.0,90,90,1.69
330,95,1500000.0,1,1,9.99
599,143,35000.0,0,0,15.49
6470,1738,3500000.0,128,75,0.0
180,38,75000.0,0,0,5.99
54,13,35000.0,0,0,1.49
113,38,35000.0,0,0,6.99
15,6,10000.0,0,0,6.99
6075,1277,1500000.0,313,105,9.99
1694,312,750000.0,18,29,7.99
15101,2014,3500000.0,1142,764,14.99
17880,2341,3500000.0,260,172,9.99
2351,1081,350000.0,916,1046,9.99
481,100,750000.0,171,240,9.99
6207,468,750000.0,2061,2889,14.99
10107,666,1500000.0,612,633,7.99
9136,1049,3500000.0,295,178,14.99
4390,855,750000.0,575,395,9.99
5267,914,750000.0,948,86,0.0
3839,582,750000.0,117,197,0.0
1675,441,350000.0,971,1184,6.99
663,115,150000.0,701,1378,0.0
394,42,350000.0,7,7,5.99
118,23,350000.0,0,0,5.99
540,34,150000.0,1008,1008,7.99
125,18,75000.0,0,0,7.99
149,37,150000.0,14,14,9.99
190,48,75000.0,37,37,6.99
297,101,75000.0,126,126,3.99
97,108,150000.0,66,66,7.19
98,24,75000.0,0,0,6.99
53,23,35000.0,0,0,6.99
53,37,35000.0,1,1,3.99
3307,113,750000.0,455,686,6.99
12,10,10000.0,0,0,6.99
735,327,350000.0,17,22,6.99
652,173,150000.0,373,373,3.99
480,437,150000.0,58,73,17.99
16,8,10000.0,0,0,7.99
70,22,10000.0,0,0,11.99
1,13,10000.0,0,0,7.99
226,190,150000.0,39,63,3.99
6,8,10000.0,0,0,3.99
16,47,10000.0,9,9,2.99
303,53,150000.0,164,164,4.29
811,71,150000.0,43,61,4.29
5292,1739,1500000.0,257,229,8.59
948,266,350000.0,305,399,8.59
6,10,10000.0,0,0,13.99
5550,903,750000.0,716,779,7.99
1327,151,750000.0,79,107,4.99
1337,101,3500000.0,226,133,9.99
354,313,750000.0,0,0,4.99
1645,164,1500000.0,186,249,14.99
50,15,10000.0,12,12,5.99
55,12,35000.0,14,14,5.99
963,64,350000.0,31,51,6.99
26380,4217,3500000.0,773,335,6.99
36427,4710,3500000.0,838,320,14.99
